,Gene Name
1,ATP6V1B1
2,KLF13
3,TMX1
4,PFDN2
5,LRRC20
6,C2orf15
7,CHCHD1
8,DLL1
9,IARS
10,ADGRA1
11,NMRAL1
12,IGLC3
13,AFP
14,GRHL2
15,ZADH2
16,GCGR
17,CBR3
18,ZNF343
19,TMEM273
20,STK17A
21,ZNF512B
22,MS4A6A
23,RNF115
24,ADH1A
25,PRORY
26,RASGRP4
27,RALGAPA2
28,NUS1
29,ADORA2B
30,PLPP5
31,KIF22
32,PIGC
33,DDAH2
34,FEZ1
35,SNURF
36,SEL1L3
37,TUBB4B
38,BTBD18
39,SMU1
40,KANTR
41,HRK
42,MSX2
43,SDF2L1
44,DISC1
45,MAST3
46,PKIB
47,ODF3B
48,TANK
49,THBS3
50,CASC3
51,HEPHL1
52,TIAM1
53,GPBP1L1
54,SOX7
55,HAUS3
56,LMNB2
57,WWC1
58,AKAP5
59,NUDCD1
60,SLC37A4
61,IZUMO1
62,SMAD3
63,DLX3
64,PELP1
65,SEC61B
66,PDHA1
67,SYCP2L
68,PABPC4L
69,F11
70,MYH2
71,OR6J1
72,ANKUB1
73,F5
74,GRTP1
75,CXorf36
76,ZNF365
77,SLC5A6
78,RILPL1
79,CNGB3
80,DCAF17
81,TEX43
82,SEH1L
83,P2RY11
84,CCAR2
85,TEX264
86,SLC7A11
87,RAB5C
88,HMG20A
89,FBXO47
90,ELK1
91,SFSWAP
92,CYP27B1
93,PSIP1
94,FAM69A
95,HIST1H3J
96,ZNF483
97,MT-ND3
98,MMP12
99,CCR8
100,RAB8A
101,AMER1
102,PDK2
103,PIGA
104,ZFR2
105,VTI1A
106,BTG2
107,NPIPB7
108,COL6A2
109,GPS1
110,BOLA2B
111,HEXDC
112,CADPS
113,MAP1S
114,ZFP37
115,CCDC24
116,SLC25A34
117,REEP4
118,SLC25A35
119,TCP11L2
120,IFT88
121,COL6A1
122,CEACAM3
123,H3F3B
124,CDCA2
125,HJV
126,PROKR2
127,ZNF154
128,THBS1
129,CAPN2
130,KLHL3
131,MUC6
132,DYNLRB2
133,LMAN2L
134,STOX1
135,NKAPL
136,MTNR1B
137,ZBBX
138,OR2G6
139,PROKR1
140,TMEM63C
141,STXBP5
142,MED28
143,KIF16B
144,FOXD4L5
145,PURG
146,LRRC49
147,PRPF38A
148,C3orf52
149,RDH16
150,WNT5B
151,GANAB
152,ZNF543
153,LTF
154,C1QTNF3
155,WFDC2
156,SHOX
157,KHDRBS1
158,MS4A18
159,ADGRG2
160,SHARPIN
161,GPRASP2
162,KCNS1
163,SLN
164,DDIAS
165,CCDC50
166,FAM169B
167,ART3
168,CD300A
169,FAM136A
170,PRH1
171,PMCH
172,HCN3
173,KCNK3
174,NUDT4
175,LPA
176,RFC1
177,ZNF382
178,HIC2
179,AHI1
180,GCNT1
181,CTF1
182,RGR
183,EDC3
184,CCL21
185,LYG2
186,SPON1
187,IGKV2D-24
188,CAPN8
189,BMP5
190,SPPL3
191,C1D
192,MROH2B
193,COPZ1
194,PDLIM1
195,SLC25A25
196,NRCAM
197,HIVEP2
198,ZIM2
199,WNT11
200,ANKDD1B
201,ALKBH3
202,TACC3
203,LTC4S
204,TSR1
205,FAM83B
206,FOXRED1
207,CTNNAL1
208,ANAPC5
209,SERINC2
210,ACP6
211,PHF20L1
212,SOHLH2
213,CDK5RAP3
214,TRPV3
215,CSF3R
216,S100A14
217,KDELC1
218,CCDC140
219,PON1
220,HNRNPLL
221,CDR1
222,LSM3
223,FBXO7
224,RBFOX3
225,ARTN
226,CHAF1B
227,TNFSF11
228,TRPV2
229,CDH26
230,ISCU
231,MED13
232,GABRR1
233,L3MBTL1
234,PGRMC1
235,NCK1
236,GSDMD
237,PGPEP1L
238,NR1D2
239,KDM5C
240,CYR61
241,KREMEN1
242,PYCARD
243,CST2
244,METAP1
245,GGA1
246,MSR1
247,CARNS1
248,P2RX2
249,SQSTM1
250,MTHFR
251,BMP2K
252,TSPYL4
253,LY6K
254,ATE1
255,LSM12
256,HDGF
257,MUC21
258,SEC13
259,RNGTT
260,TMEM81
261,LPCAT1
262,CTBP2
263,ZSCAN23
264,ST7L
265,GAL3ST3
266,KRTCAP2
267,REXO1
268,WAPL
269,SEC22A
270,RALGDS
271,STXBP4
272,PPP1R3B
273,TSPAN15
274,ZDHHC16
275,ARPC4
276,MEGF11
277,MYBPC3
278,ADGRL3
279,CREB1
280,NMS
281,HAVCR1
282,PLSCR5
283,CSPG5
284,TUBGCP6
285,NCL
286,ZCCHC3
287,GRAMD1C
288,ENO3
289,CNPY4
290,C12orf57
291,LINC00672
292,VAMP4
293,CTXND2
294,TMEM131
295,SEC22B
296,PRKACB
297,ZNF776
298,RCC2
299,CCDC42
300,ZMYND12
301,GAMT
302,GPX8
303,SLC27A3
304,CTSO
305,FAM83E
306,C1orf52
307,RPL39
308,SNAPC3
309,WEE1
310,ATP11B
311,LOXL3
312,B3GALNT1
313,SQOR
314,FOXQ1
315,TAB1
316,ARHGAP21
317,NCKAP1L
318,ARNT2
319,RGS6
320,CABCOCO1
321,PURB
322,CTSZ
323,KIF6
324,SYNE3
325,PSTPIP2
326,NOTCH3
327,LIMCH1
328,DNASE2B
329,OR2A14
330,CEACAM21
331,RORB
332,JAG1
333,GPX7
334,IGKV2D-28
335,ORC4
336,HLA-DRB5
337,MSANTD2
338,SCARB1
339,TSEN2
340,SLC35C1
341,NPIPB3
342,GHRHR
343,ELP6
344,CTNNBL1
345,TLDC1
346,SMCO3
347,SHQ1
348,DOPEY2
349,GATA6
350,ANKRD12
351,ENTPD6
352,KCTD18
353,NUTM2F
354,FGF14
355,PPP5C
356,CALM1
357,PDIA2
358,PELO
359,NDUFC2
360,RHOF
361,GHRH
362,KLC2
363,AMOT
364,ERICH5
365,FAM169A
366,FLT4
367,BANF2
368,DDX53
369,TTLL4
370,ACY1
371,NBPF11
372,CHD5
373,EMP1
374,NAT14
375,CBLC
376,PTGER3
377,MAN1B1
378,TACR1
379,AHDC1
380,HIST1H4C
381,PIK3C2B
382,ZNF208
383,COLCA2
384,TEX29
385,CADM3
386,ADCY1
387,CTIF
388,VKORC1L1
389,TOP1MT
390,SMCP
391,NUCB1
392,CAMKK2
393,HNRNPR
394,DGKA
395,ARHGAP39
396,TACC2
397,C6orf15
398,NR2F6
399,KCNT1
400,SASH1
401,ZNF676
402,GAA
403,ADH6
404,GPSM3
405,AL159163.1
406,BCL6
407,CCNI
408,PYGB
409,CCL4
410,GDF3
411,SPINK1
412,GPATCH3
413,SIRT2
414,HIST1H4H
415,MAGED1
416,AKAP8L
417,KBTBD7
418,TCTA
419,CSPP1
420,ATF6B
421,HOXC4
422,CEP152
423,BPI
424,TSPAN18
425,ATAD3B
426,IGHV4-34
427,BBIP1
428,SLCO1C1
429,FAM234B
430,PRPSAP2
431,GAS2L1
432,ANKRD33B
433,APOL6
434,GGT5
435,EIF4H
436,SMG1
437,DSG2
438,RGPD8
439,ARHGEF5
440,FZR1
441,POLM
442,MPIG6B
