,mean_no_cancer,mean_cancer,variance_no_cancer,variance_cancer,dif_abs_mean,logFC,abs_logFC
ATP6V1B1,0.0030753054310885828,0.0061949272621166715,3.6398014113983494e-05,8.514035445017256e-05,0.0031196218310280887,1.0101214590865495,1.0101214590865495
KLF13,0.005969661658590138,0.011836850205136099,9.718817664832713e-05,0.00023440553908476972,0.00586718854654596,0.9874443838276913,0.9874443838276913
TMX1,0.0073197481735290055,0.014257611406202214,0.00017837323004241395,0.0003774480823619987,0.006937863232673209,0.9617704866278624,0.9617704866278624
PFDN2,0.006998518983744883,0.01341162989161664,0.00015433114371811058,0.000331841615329484,0.006413110907871757,0.9382644558526531,0.9382644558526531
LRRC20,0.002425657807929444,0.004616236621527029,2.2568781569386075e-05,4.6501142562789726e-05,0.0021905788135975846,0.9280589856784186,0.9280589856784186
C2orf15,0.002425657807929444,0.004616236621527029,2.2568781569386075e-05,4.650114256278972e-05,0.0021905788135975846,0.9280589856784186,0.9280589856784186
CHCHD1,0.005682723573192076,0.01080936017367354,8.535078445168891e-05,0.0001890619687705577,0.0051266366004814636,0.9275062945960271,0.9275062945960271
DLL1,0.00776856031030659,0.014632773450987513,0.00017188266740767716,0.00036120141296915113,0.006864213140680923,0.9133969673919745,0.9133969673919745
IARS,0.006388225919782775,0.011996279808022802,0.0001312749550532852,0.00026274634207223513,0.005608053888240027,0.9089942761946801,0.9089942761946801
ADGRA1,0.003703546027945077,0.006934692390129971,3.44177584996481e-05,8.091920673019738e-05,0.003231146362184894,0.9047431550776337,0.9047431550776337
NMRAL1,0.0022027303705567988,0.00409946233076433,1.8024818616021018e-05,3.565450946829088e-05,0.0018967319602075311,0.8958388650638198,0.8958388650638198
IGLC3,0.001990540462814613,0.003704559465944984,1.4719404625749975e-05,2.9116140515829472e-05,0.0017140190031303712,0.8958065855650235,0.8958065855650235
AFP,0.0015934576018758588,0.002965555613104319,9.43255287665679e-06,1.865833177106085e-05,0.0013720980112284602,0.8957230933259605,0.8957230933259605
GRHL2,0.0015934576018758586,0.0029655556131043177,9.432552876656785e-06,1.8658331771060836e-05,0.0013720980112284591,0.8957230933259599,0.8957230933259599
